Date : 2020-07-25 23:24:16
Directory : /home/raphael/Projects/dopamine
Total : 165 files,  20366 codes, 521 comments, 1094 blanks, all 21981 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/raphael/Projects/dopamine/src/app/data/repositories/track-repository.ts                                     | TypeScript   |        122 |          0 |         25 |        147 |
| /home/raphael/Projects/dopamine/src/app/directives/webview.directive.ts                                           | TypeScript   |          7 |          0 |          4 |         11 |
| /home/raphael/Projects/dopamine/src/app/globalErrorHandler.ts                                                     | TypeScript   |         26 |          3 |          7 |         36 |
| /home/raphael/Projects/dopamine/src/app/services/appearance/appearance.service.ts                                 | TypeScript   |         93 |          2 |         26 |        121 |
| /home/raphael/Projects/dopamine/src/app/services/appearance/base-appearance.service.ts                            | TypeScript   |          9 |          0 |          2 |         11 |
| /home/raphael/Projects/dopamine/src/app/services/appearance/color-scheme.ts                                       | TypeScript   |          4 |          0 |          1 |          5 |
| /home/raphael/Projects/dopamine/src/app/services/dialog/base-dialog.service.ts                                    | TypeScript   |          5 |          0 |          2 |          7 |
| /home/raphael/Projects/dopamine/src/app/services/dialog/dialog.service.ts                                         | TypeScript   |         27 |          0 |          7 |         34 |
| /home/raphael/Projects/dopamine/src/app/services/electron.service.ts                                              | TypeScript   |         24 |          3 |          7 |         34 |
| /home/raphael/Projects/dopamine/src/app/services/folder/base-folder.service.ts                                    | TypeScript   |          6 |          0 |          2 |          8 |
| /home/raphael/Projects/dopamine/src/app/services/folder/folder.service.ts                                         | TypeScript   |         32 |          0 |          5 |         37 |
| /home/raphael/Projects/dopamine/src/app/services/indexing/base-collection-checker.ts                              | TypeScript   |          3 |          0 |          1 |          4 |
| /home/raphael/Projects/dopamine/src/app/services/indexing/base-indexable-path-fetcher.ts                          | TypeScript   |          4 |          0 |          2 |          6 |
| /home/raphael/Projects/dopamine/src/app/services/indexing/base-indexing.service.ts                                | TypeScript   |          3 |          0 |          1 |          4 |
| /home/raphael/Projects/dopamine/src/app/services/indexing/collection-checker.ts                                   | TypeScript   |         39 |          0 |         10 |         49 |
| /home/raphael/Projects/dopamine/src/app/services/indexing/collection-indexer.ts                                   | TypeScript   |         17 |          0 |          3 |         20 |
| /home/raphael/Projects/dopamine/src/app/services/indexing/directory-walk-result.ts                                | TypeScript   |          3 |          0 |          1 |          4 |
| /home/raphael/Projects/dopamine/src/app/services/indexing/directory-walker.ts                                     | TypeScript   |         51 |          2 |         11 |         64 |
| /home/raphael/Projects/dopamine/src/app/services/indexing/indexable-path-fetcher.ts                               | TypeScript   |         75 |          0 |         12 |         87 |
